Name,Time length,IMDb Rating,Metascopre,Total Votes
Blade Runner,117 min,8.1,84,"743,884"
Life of Brian,94 min,8.1,77,"390,538"
The Deer Hunter,183 min,8.1,86,"331,976"
Rocky,120 min,8.1,70,"556,082"
Network,121 min,8.1,83,"156,078"
Jaws,124 min,8.1,87,"577,961"
Barry Lyndon,185 min,8.1,89,"162,965"
The Exorcist,122 min,8.1,81,"388,369"
Cool Hand Luke,127 min,8.1,92,"173,703"
Persona,83 min,8.1,86,"114,663"
The Sound of Music,172 min,8.1,63,"223,836"
The Battle of Algiers,121 min,8.1,96,"58,664"
The 400 Blows,99 min,8.1,,"114,785"
Ben-Hur,212 min,8.1,90,"233,856"
The Seventh Seal,96 min,8.1,88,"180,697"
On the Waterfront,108 min,8.1,91,"151,811"
The Third Man,93 min,8.1,97,"168,743"
The Best Years of Our Lives,170 min,8.1,93,"62,515"
Rebecca,130 min,8.1,86,"134,311"
The Grapes of Wrath,129 min,8.1,96,"90,981"
The Wizard of Oz,102 min,8.1,92,"387,116"
Mr. Smith Goes to Washington,129 min,8.1,73,"113,823"
It Happened One Night,105 min,8.1,87,"101,561"
